광역지자체,자치구,연월,인허가(호),착공(호),준공(호)
인천,,2014-07,364,237,821
인천,,2014-08,258,341,1684
인천,,2014-09,162,288,2370
인천,,2014-10,411,241,1099
인천,,2014-11,1119,284,2204
인천,,2014-12,1958,359,134
인천,,2015-01,704,1514,391
인천,,2015-02,1180,419,209
인천,,2015-03,535,3307,517
인천,,2015-04,1506,429,379
인천,,2015-05,1446,1409,318
인천,,2015-06,812,2626,4697
인천,,2015-07,4841,164,2195
인천,,2015-08,4224,6224,265
인천,,2015-09,5911,2420,175
인천,,2015-10,383,6232,1257
인천,,2015-11,419,256,489
인천,,2015-12,3284,4355,1019
인천,,2016-01,222,604,313
인천,,2016-02,767,121,152
인천,,2016-03,251,668,1332
인천,,2016-04,214,395,141
인천,,2016-05,1292,254,222
인천,,2016-06,145,34,4614
인천,,2016-07,456,229,736
인천,,2016-08,5177,1207,282
인천,,2016-09,1373,2016,1540
인천,,2016-10,1520,1020,640
인천,,2016-11,1584,2289,374
인천,,2016-12,2361,890,1325
인천,,2017-01,245,348,279
인천,,2017-02,442,388,2010
인천,,2017-03,257,32,206
인천,,2017-04,208,510,55
인천,,2017-05,1983,1445,226
인천,,2017-06,4174,367,969
인천,,2017-07,0,29,1698
인천,,2017-08,377,2213,868
인천,,2017-09,673,,2285
인천,,2017-10,1182,555,720
인천,,2017-11,2854,28,3171
인천,,2017-12,4906,2810,3879
인천,,2018-01,4672,2135,5885
인천,,2018-02,1218,380,927
인천,,2018-03,3011,957,1637
인천,,2018-04,3184,795,1035
인천,,2018-05,420,1095,56
인천,,2018-06,684,200,380
인천,,2018-07,1201,1020,157
인천,,2018-08,8683,1271,189
인천,,2018-09,2890,4191,3075
인천,,2018-10,180,4965,494
인천,,2018-11,6752,7158,3216
인천,,2018-12,5931,5809,79
인천,,2019-01,1089,1708,891
인천,,2019-02,8931,3258,1212
인천,,2019-03,2586,2165,1461
인천,,2019-04,2522,,334
인천,,2019-05,2366,6722,1353
인천,,2019-06,3259,1141,36
